id,activity_date,total_steps,active_minutes,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories
1503960366,2016-04-12,13162,368,8.5,8.5,0,1.88,0.55,6.06,0,25,13,328,728,1985
1503960366,2016-04-13,10735,259,6.97,6.97,0,1.57,0.69,4.71,0,21,19,217,776,1797
1503960366,2016-04-14,10460,224,6.74,6.74,0,2.44,0.4,3.91,0,30,11,181,1218,1776
1503960366,2016-04-15,9762,274,6.28,6.28,0,2.14,1.26,2.83,0,29,34,209,726,1745
1503960366,2016-04-16,12669,269,8.16,8.16,0,2.71,0.41,5.04,0,36,10,221,773,1863
1503960366,2016-04-17,9705,224,6.48,6.48,0,3.19,0.78,2.51,0,38,20,164,539,1728
1503960366,2016-04-18,13019,293,8.59,8.59,0,3.25,0.64,4.71,0,42,16,233,1149,1921
1503960366,2016-04-19,15506,347,9.88,9.88,0,3.53,1.32,5.03,0,50,31,264,775,2035
1503960366,2016-04-20,10544,247,6.68,6.68,0,1.96,0.48,4.24,0,28,12,205,818,1786
1503960366,2016-04-21,9819,240,6.34,6.34,0,1.34,0.35,4.65,0,19,8,211,838,1775
1503960366,2016-04-22,12764,225,8.13,8.13,0,4.76,1.12,2.24,0,66,27,130,1217,1827
1503960366,2016-04-23,14371,326,9.04,9.04,0,2.81,0.87,5.36,0,41,21,262,732,1949
1503960366,2016-04-24,10039,284,6.41,6.41,0,2.92,0.21,3.28,0,39,5,238,709,1788
1503960366,2016-04-25,15355,305,9.8,9.8,0,5.29,0.57,3.94,0,73,14,216,814,2013
1503960366,2016-04-26,13755,335,8.79,8.79,0,2.33,0.92,5.54,0,31,23,279,833,1970
1503960366,2016-04-27,18134,334,12.21,12.21,0,6.4,0.41,5.41,0,78,11,243,1108,2159
1503960366,2016-04-28,13154,267,8.53,8.53,0,3.54,1.16,3.79,0,48,28,189,782,1898
1503960366,2016-04-29,11181,273,7.15,7.15,0,1.06,0.5,5.58,0,16,12,243,815,1837
1503960366,2016-04-30,14673,305,9.25,9.25,0,3.56,1.42,4.27,0,52,34,217,712,1947
1503960366,2016-05-01,10602,316,6.81,6.81,0,2.29,1.6,2.92,0,33,35,246,730,1820
1503960366,2016-05-02,14727,335,9.71,9.71,0,3.21,0.57,5.92,0,41,15,277,798,2004
1503960366,2016-05-03,15103,330,9.66,9.66,0,3.73,1.05,4.88,0,50,24,254,816,1990
1503960366,2016-05-04,11100,263,7.15,7.15,0,2.46,0.87,3.82,0,36,22,203,1179,1819
1503960366,2016-05-05,14070,321,8.9,8.9,0,2.92,1.08,4.88,0,45,24,250,857,1959
1503960366,2016-05-06,12159,321,8.03,8.03,0,1.97,0.25,5.81,0,24,6,289,754,1896
1503960366,2016-05-07,11992,260,7.71,7.71,0,2.46,2.12,3.13,0,37,46,175,833,1821
1503960366,2016-05-08,10060,257,6.58,6.58,0,3.53,0.32,2.73,0,44,8,203,574,1740
1503960366,2016-05-09,12022,265,7.72,7.72,0,3.45,0.53,3.74,0,46,11,206,835,1819
1503960366,2016-05-10,12207,293,7.77,7.77,0,3.35,1.16,3.26,0,46,31,214,746,1859
1503960366,2016-05-11,12770,312,8.13,8.13,0,2.56,1.01,4.55,0,36,23,251,669,1783
1503960366,2016-05-12,0,2,0,0,0,0,0,0,0,0,0,0,1440,0
1624580081,2016-04-12,8163,148,5.31,5.31,0,0,0,5.31,0,0,0,146,1294,1432
1624580081,2016-04-13,7007,150,4.55,4.55,0,0,0,4.55,0,0,0,148,1292,1411
1624580081,2016-04-14,9107,238,5.92,5.92,0,0,0,5.91,0.01,0,0,236,1204,1572
1624580081,2016-04-15,1510,98,0.98,0.98,0,0,0,0.97,0,0,0,96,1344,1344
1624580081,2016-04-16,5370,178,3.49,3.49,0,0,0,3.49,0,0,0,176,1264,1463
1624580081,2016-04-17,6175,166,4.06,4.06,0,1.03,1.52,1.49,0.01,15,22,127,1276,1554
1624580081,2016-04-18,10536,228,7.41,7.41,0,2.15,0.62,4.62,0.01,17,7,202,1214,1604
1624580081,2016-04-19,2916,143,1.9,1.9,0,0,0,1.9,0,0,0,141,1299,1435
1624580081,2016-04-20,4974,153,3.23,3.23,0,0,0,3.23,0,0,0,151,1289,1446
1624580081,2016-04-21,6349,188,4.13,4.13,0,0,0,4.11,0.02,0,0,186,1254,1467
1624580081,2016-04-22,4026,201,2.62,2.62,0,0,0,2.6,0,0,0,199,1241,1470
1624580081,2016-04-23,8538,229,5.55,5.55,0,0,0,5.54,0.01,0,0,227,1213,1562
1624580081,2016-04-24,6076,221,3.95,3.95,0,1.15,0.91,1.89,0,16,18,185,1221,1617
1624580081,2016-04-25,6497,204,4.22,4.22,0,0,0,4.2,0.02,0,0,202,1238,1492
1624580081,2016-04-26,2826,142,1.84,1.84,0,0,0,1.83,0.01,0,0,140,1300,1402
1624580081,2016-04-27,8367,209,5.44,5.44,0,1.11,1.87,2.46,0,17,36,154,1233,1670
1624580081,2016-04-28,2759,122,1.79,1.79,0,0,0.2,1.6,0,0,5,115,1320,1401
1624580081,2016-04-29,2390,152,1.55,1.55,0,0,0,1.55,0,0,0,150,1290,1404
1624580081,2016-04-30,6474,260,4.3,4.3,0,0.9,1.28,2.12,0.01,11,23,224,1182,1655
1624580081,2016-05-01,36019,422,28.03,28.03,0,21.92,4.19,1.91,0.02,186,63,171,1020,2690
1624580081,2016-05-02,7155,181,4.93,4.93,0,0.86,0.59,3.47,0,7,6,166,1261,1497
1624580081,2016-05-03,2100,98,1.37,1.37,0,0,0,1.34,0.02,0,0,96,1344,1334
1624580081,2016-05-04,2193,120,1.43,1.43,0,0,0,1.42,0,0,0,118,1322,1368
1624580081,2016-05-05,2470,119,1.61,1.61,0,0,0,1.58,0.02,0,0,117,1323,1370
1624580081,2016-05-06,1727,104,1.12,1.12,0,0,0,1.12,0.01,0,0,102,1338,1341
1624580081,2016-05-07,2104,184,1.37,1.37,0,0,0,1.37,0,0,0,182,1258,1474
1624580081,2016-05-08,3427,154,2.23,2.23,0,0,0,2.22,0,0,0,152,1288,1427
1624580081,2016-05-09,1732,93,1.13,1.13,0,0,0,1.13,0,0,0,91,1349,1328
1624580081,2016-05-10,2969,141,1.93,1.93,0,0,0,1.92,0.01,0,0,139,1301,1393
1624580081,2016-05-11,3134,114,2.04,2.04,0,0,0,2.04,0,0,0,112,1328,1359
1624580081,2016-05-12,2971,109,1.93,1.93,0,0,0,1.92,0.01,0,0,107,890,1002
1644430081,2016-04-12,10694,311,7.77,7.77,0,0.14,2.3,5.33,0,2,51,256,1131,3199
1644430081,2016-04-13,8001,183,5.82,5.82,0,2.28,0.9,2.64,0,30,16,135,1259,2902
1644430081,2016-04-14,11037,317,8.02,8.02,0,0.36,2.56,5.1,0,5,58,252,1125,3226
1644430081,2016-04-15,5263,179,3.83,3.83,0,0.22,0.15,3.45,0,3,4,170,1263,2750
1644430081,2016-04-16,15300,307,11.12,11.12,0,4.1,1.88,5.09,0,51,42,212,1135,3493
1644430081,2016-04-17,8757,230,6.37,6.37,0,2.25,0.57,3.55,0,29,13,186,1212,3011
1644430081,2016-04-18,7132,171,5.19,5.19,0,1.07,1.67,2.45,0,15,33,121,1271,2806
1644430081,2016-04-19,11256,343,8.18,8.18,0,0.36,2.53,5.3,0,5,58,278,1099,3300
1644430081,2016-04-20,2436,127,1.77,1.77,0,0,0,1.76,0.01,0,0,125,1315,2430
1644430081,2016-04-21,1223,40,0.89,0.89,0,0,0,0.88,0.01,0,0,38,1402,2140
1644430081,2016-04-22,3673,88,2.67,2.67,0,0,0,2.66,0.01,0,0,86,1354,2344
1644430081,2016-04-23,6637,177,4.83,4.83,0,0,0.58,4.25,0,0,15,160,1265,2677
1644430081,2016-04-24,3321,91,2.41,2.41,0,0,0,2.41,0,0,0,89,1351,2413
